






000|22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
001|22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
002|22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
003|22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
004|22                                                                                                                            22
005|22                                                                         2                                                  22
006|22                22222               2    2                               2  222                      2                      22
007|22                2                   2   2                               2   2  2                     2                      22
008|22                2         2         2  2                                2   2   2                    2                      22
009|22                2                   2 2                                2    2   2                    2                      22
00A|22                222   2 2 2  222    22     2 2  222 2   2  222  22     2    2   2 2   2  222   222   2      22              22
00B|22                2     22  2 2       2 2    22  2  2 2   2 2    2  2   2     2   2 2   2 2   2 2  2   2     2  2             22
00C|22                2     2   2 2       2  2   2   2  2 2   2  22  2222   2     2   2 2   2 2   2 2  2   2     2222             22
00D|22                2     2   2 2       2   2  2   2  2 2   2    2 2     2      2  2  2   2 2   2 2  2   2     2                22
00E|22                22222 2   2  222    2    2 2    222  222  222   222  2      222    222  2   2  222   22222  222             22
00F|22                                                                    2                            2                          22
010|22   3333333333333333333333333333333333333333333333333333333333333333323333333333333333333333333333233333333333333333333333   22
011|22                                                                                                 2                          22
012|22                                   33                                                         222                           22
013|22                                   33                                                                                       22
014|22      33                                                         33                                          33             22
015|22      33                                                        3333                                         33             22
016|22      33                                                         33                                          33             22
017|22   333  333                                                                                                  33             22
018|22   333  333            11111111111111111111111111111111111111111111111111111111111111111111                  33             22
019|22      33               13333333333333333333333333333333333333333333333333333333333333333331             33333  33333        22
01A|22      33               13333333333333333333333333333333333333333333333333333333333333333331             33333  33333        22
01B|22      33               13333333333333333333333333333333333333333333333333333333333333333331                  33             22
01C|22                   11111                                                                  11111              33             22
01D|22                   1333                                                                    3331              33             22
01E|22                   1333                                                                    3331              33             22
00F|22                   1333                       2222                                         3331              33             22
020|22               11111           2222           2222                                            11111                         22
021|22       33      1333            2222           2222                                             3331                         22
022|22       33      1333            2222           2222                           2222              3331                         22
023|22               1333            2222                                          2222              3331                         22
024|22               1333                                                          2222              3331                         22
025|22               1333                                           2222           2222              3331                         22
026|22               1333                                           2222                             3331                         22
027|22               1333                                           2222                             3331                         22
028|22               1333                    2222                   2222                             3331                         22
029|22               1333                    2222                                                    3331                         22
02A|22               1333                    2222                                                    3331                         22
02B|22               1333                    2222                                                    3331                         22
02C|22               1333                                                11111133    2222            3331        33311111         22
02D|22 222222222     1333                                                13333133    2222            3331        33133331         22
02E|22 2222222222222 1333                                                13333313    2222            3331        31333331         22
02F|22 2222222222222 1333                                                13333331    2222            3331        13333331         22
030|22 2222222222222 1333                                            1111333333331333                3331    3331333333311111     22
031|22 2222222222222 1333                                            1333333333333133                3331    3313333333333331     22
032|22 2222222222222 1333        2222                   3333         1333333333333313                3331    3133333333333331     22
033|22          2222 1333        2222                   3333         1333333333333331                3331    1333333333333331     22
034|22 222222222     1333        2222                   3333         13333333333333331333            111133313333333333333331     22
035|22 2222222222222 1333        2222                   3333         13333333333333333133            133333133333333333333331     22
036|22 2222222222222 1333                                            13333333333333333313            133331333333333333333331     22
037|22 2222222222222 1333                                            13333333333333333331            133313333333333333333331     22
038|22 2222222222222 1333                                            13333333333333333333111111111133111133333333333333333331     22
039|22 2222222222222 1333                                            13333333333333333333333333333333333333333333333333333331     22
03A|22          2222 1333                                            13333333333333333333333333333333333333333333333333333331     22
03B|22 222222222     1333                                            13333333333333333333333333333333333333333333333333333331     22
03C|22 2222222222222 1333                                            13333333333333333333333333333333333333333333333333333331     22
03D|22 2222222222222 1333                                            13333333333333333333333333333333333333333333333333333331     22
03E|22 2222222222222 1333                         2222               13333333333333333333333333333333333333333333333333333331     22
03F|22 22222222      1333                         2222               33333333333333333333333333333333333333333333333333333331     22
040|22022222222  11131333                         2222           1111333333333333333333333333333333333333333333333333333333311111 22
041|22 22222222  13331333                         2222           1333333333333333333333333333333333333333333333333333333333333331 22
042|22 22222222  13331333                                        1333333333333333333333333333333333333333333333333333333333333331 22
043|22           13331333                                        1333333333333333333333333333333333333333333333333333333333333331 22
044|221111111111113331333                                        1333333333333333111111113333333333333333333311111111333333333331 22
045|223333333333333331333                                        13333333333333331   1111333333333333333333331   1111333333333331 22
046|223333333333333331333                                        13333333333333331   1111333333333333333333331   1111333333333331 22
047|223333333333333331333                                        13333333333333331   1111333333333333333333331   1111333333333331 22
048|223333333333333331333      2222                              1333333333333333111111113333333333331111333311111111333333333331 22
049|223333333333333331333      2222                              1333333333333333111111113333333333331111333311111111333333333331 22
04A|223333333333333331333      2222                              1333333333333333111111113333333333331111333311111111333333333331 22
04B|223333333333333331333      2222                              1333333333333333111111113333333333331111333311111111333333333331 22
04C|223333333333333331333                                        1333333322222222333333333333333333333333333333333333222222223331 22
04D|223333333333333331333                                        1333333322222222333333333333333333333333333333333333222222223331 22
04E|223333331111111131333                                        1333333322222222333333333333333333333333333333333333222222223331 22
04F|223333331        1333                                        1333333322222222333333333333333333333333333333333333222222223331 22
051|223333331  22222 1333                    2222                1333333322222222333311113333333311113333333311113333222222223331 22
050|223333331  22222 1333                    2222                1333333322222222333311113333333311113333333311113333222223333331 22
052|221111111  22222 1333                    2222                1333333322222222333311113333333311113333333311113333222223333331 22
053|22         22222 1333                    2222                1111333322222222333311113333333311113333333311113333222223311111 22
054|2222222222222222 1333                                           133333333333333331111111111111111111111111111333333333331     22
055|2222222222222222 1333                                           133333333333333331111111111111111111111111111333333333331     22
056|2222222222222222 1333           2222                            133333333333333331111111111111111111111111111333333333331     22
057|22         2222 21333           2222                            111113333333333331111111111111111111111111111333333331111     22
058|22               13333333       2222                                 133333333333333333333333333333333333333333333331         22
059|22               13333333       2222                                 133333333333333333333333333333333333333333333313         22
05A|22               13333333                                            133333333333333333333333333333333333333333333133         22
05B|22               13333333                                            133333333333333333333333333333333333333333331333         22
05C|22               133333333333333333333333333333333333333333333333333331333333333333333333333333333333333333333331             22
05D|22               133333333333333333333333333333333333333333333333333333133333333333333333333333333333333333333331             22
05E|22               133333333333333333333333333333333333333333333333333333313333333333333333333333333333333333333331             22
05F|22               111111111111333111111331111111111331111111111111111123331111133111111111133111111331111111111331             22
060|22               1333333333333331    1333333333333331                        1333333333333331    1333333333333331             22
061|22               1333333333333331    1333333333333331                        1333333333333331    1333333333333331             22
062|22               1333333333333331    1333333333333331                        1333333333333331    1333333333333331             22
063|22               1333333333311111    1111133333333331                        1111133333333331    1111133333333331             22
064|22               133333333331            133333333331                            133333333331        133333333331             22
065|22               133333333331            133333333331                            133333333331        133333333331             22
066|22               133333333331            133333333331                            133333333331        133333333331             22
067|22               111111111111            111111111111                            111111111111        111111111111             22
068|22                                                                                                                            22
069|22                                                                                                                            22
06A|22                                                                                                                            22
06B|22            33                                               33                                         33                  22
06C|22            33                                             33  33                                       33                  22
06D|22            33                                               33                                         33                  22
06E|22         333  333                      33                                                            333  333               22
06F|22         333  333                      33                                                            333  333               22
070|22            33                                                                                          33                  22
071|22            33                                                                                          33                  22
072|22            33                                                                      33                  33                  22
073|22                                                                                    33                                      22
074|22                                                                                                                            22
075|22                                                                                                                            22
076|22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
077|22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
078|22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
079|22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
07A|22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
07B|22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
07C|22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
07D|22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
07E|22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
07F|22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
